feature,mean_abs_shap
log_miles,0.3545032219866886
repairs_filled,0.25822347973447296
pct_small_diam,0.11406780539057641
pct_high_smys,0.08989785191811547
state_risk,0.07534390407860543
op_hist_rate,0.066622109683584
pct_class1,0.03468029731098364
age_x_class1,0.012470947747198093
pct_large_diam,0.0
age_sq,0.0
era_ordinal,0.0
age_at_obs,0.0
decade_ordinal,0.0
age_x_small_diam,0.0
age_x_era,0.0
repairs_available,0.0
miles_x_age,0.0
event_lag1,0.0
incidents_lag1,0.0
incidents_cumul,0.0
incidents_roll3,0.0
ever_event_prior,0.0
op_hist_total,0.0
