state_abbrev,pct_high_corr,pct_mod_corr,pct_low_corr,soil_corr_index
AK,0.7330984875676185,0.23285745111682518,0.03404406131555636,0.8495272131260312
AL,0.46366144885691274,0.3555505408000561,0.18078801034303119,0.6414367192569407
AR,0.6363183677948807,0.2541541142837647,0.10952751792135451,0.763395424936763
AS,0.9561196803690739,0.023326355222824665,0.020553964408101394,0.9677828579804864
AZ,0.26018546439410434,0.5979991564314568,0.1418153791744389,0.5591850426098327
CA,0.2404192598424639,0.41385354154176984,0.3457271986157662,0.4473460306133488
CO,0.2130716251713813,0.49295588979636223,0.2939724850322564,0.45954957006956243
CT,0.6080207892608557,0.26148926436933123,0.13048994636981304,0.7387654214455213
DC,0.28221161815482176,0.28815033255692213,0.42963804928825616,0.42628678443328283
DE,0.4451236317607727,0.3123090355708076,0.24256733266841976,0.6012781495461764
FL,0.6508968160302726,0.20029999642221097,0.14880318754751634,0.7510468142413781
FM,0.9232936143501926,0.07038784171467254,0.006318543935134703,0.9584875352075289
GA,0.518444415652264,0.3769972319521275,0.10455835239560853,0.7069430316283277
GU,0.4899890998950856,0.5100109001049145,0.0,0.7449945499475428
HI,0.7327114011952434,0.21094919590486877,0.05633940289988779,0.8381859991476777
IA,0.5893380239266605,0.26851799296535755,0.14214398310798207,0.7235970204093392
ID,0.25176159321228625,0.5139927964713431,0.2342456103163707,0.5087579914479577
IL,0.8221043329603703,0.09228242422460008,0.08561324281502956,0.8682455450726704
IN,0.7965269666295582,0.0785900202890023,0.1248830130814395,0.8358219767740593
KS,0.3161027924258641,0.4311086625167696,0.2527885450573663,0.5316571236842489
KY,0.5767388693742289,0.26625102371798354,0.1570101069077876,0.7098643812332207
LA,0.8022872341096166,0.16053741937250274,0.03717534651788072,0.8825559437958679
MA,0.7265131493187135,0.1660835798022584,0.10740327087902811,0.8095549392198427
MD,0.40952327277154554,0.36116969128351994,0.22930703594493443,0.5901081184133056
ME,0.886202481245421,0.10646751923285044,0.00732999952172867,0.9394362408618462
MH,0.345336644200071,0.6546633557999291,0.0,0.6726683221000355
MI,0.5991274393876972,0.14564507406101312,0.2552274865512897,0.6719499764182036
MN,0.7099982175038133,0.10510834976393571,0.18455530155160965,0.7625523923857811
MO,0.7819070147527258,0.15400646680520322,0.06408651844207086,0.8589102481553275
MP,0.5142817745576815,0.4824842075070539,0.0032340179352646175,0.7555238783112084
MS,0.6774394537120826,0.1641836732362495,0.15837687305166792,0.7595312903302074
MT,0.44078660574578715,0.36822015398001134,0.1909932402742014,0.6248966827357928
MX,0.5566113809809501,0.4345538761265184,0.008834742892531593,0.7738883190442093
NC,0.541875108205835,0.33525240650828103,0.12287248528588404,0.7095013114599754
ND,0.46557503423792873,0.436528589300066,0.09789637646200523,0.6838393288879617
NE,0.200469352010205,0.2667474123829169,0.532783235606878,0.33384305820166343
NH,0.8027706165961791,0.13706512083058084,0.06016426257324004,0.8713031770114695
NJ,0.37891269171090197,0.3047394416308446,0.3163478666582536,0.5312824125263242
NM,0.3022588563573262,0.63909619170326,0.058644951939413714,0.6218069522089562
NV,0.38862891499384566,0.47470000661152806,0.13667107839462636,0.6259789182996097
NY,0.7430955074547305,0.16780365067620698,0.08910084186906243,0.826997332792834
OH,0.7800828058641013,0.13756602597021006,0.08235116816568867,0.8488658188492063
OK,0.42439450276983803,0.258858618532447,0.3167285019406982,0.5538238120360615
OR,0.39345142732966937,0.37754664940517685,0.22900192326515362,0.5822247520322578
PA,0.5451540682473172,0.2889324950213584,0.16591343673132442,0.6896203157579964
PR,0.7380529276969461,0.21983733582607337,0.04210973647698053,0.8479715956099828
PW,0.9022917421949158,0.09400751276055636,0.0037007450445277496,0.9492954985751939
RI,0.7681122959648949,0.19265872398026138,0.03922898005484362,0.8644416579550256
SC,0.6413302197555323,0.218889201473558,0.13978057877090966,0.7507748204923113
SD,0.5448408650592942,0.37951035384042836,0.07564878110027759,0.7345960419795083
TN,0.5130052081613263,0.29481492632824885,0.19217986551042496,0.6604126713254508
TX,0.48349306934996106,0.4236109974887304,0.09240064291669431,0.6952985680943263
US,0.5958706902219497,0.2686292653221818,0.13550004445586855,0.7301853228830406
UT,0.3271284027824722,0.5253530708159495,0.14751852640157828,0.5898049381904469
VA,0.47298497067325806,0.33526247785064683,0.19175255147609516,0.6406162095985815
VI,0.3673223107660543,0.6326776892339457,0.0,0.6836611553830272
VT,0.7020182193063982,0.15531311051693625,0.14266867017666565,0.7796747745648662
WA,0.4217891803205253,0.3543015997728528,0.22390921990662183,0.5989399802069516
WI,0.6130144591349753,0.1056085791012331,0.28137696176379157,0.6658187486855919
WV,0.3713180935524033,0.5314510450201154,0.0972308614274813,0.637043616062461
WY,0.24073928009307485,0.6136325721016717,0.1456281478052535,0.5475555661439107
